Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 10, warmup iterations: 5, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
32          8         int32     prod      b         10.064000         0.003         0.003       
64          16        int32     prod      b         10.400000         0.006         0.005       
128         32        int32     prod      b         10.355200         0.012         0.011       
256         64        int32     prod      b         10.048000         0.025         0.022       
512         128       int32     prod      b         10.179200         0.050         0.044       
1024        256       int32     prod      b         10.067200         0.102         0.089       
2048        512       int32     prod      b         10.121600         0.202         0.177       
4096        1024      int32     prod      b         10.160000         0.403         0.353       
8192        2048      int32     prod      b         10.070400         0.813         0.712       
16384       4096      int32     prod      b         10.105600         1.621         1.419       
32768       8192      int32     prod      b         10.057600         3.258         2.851       
65536       16384     int32     prod      b         10.688000         6.132         5.365       
131072      32768     int32     prod      b         10.211200         12.836        11.232      
262144      65536     int32     prod      b         10.044800         26.097        22.835      
524288      131072    int32     prod      b         10.070400         52.062        45.554      
1048576     262144    int32     prod      b         10.073600         104.091       91.080      
2097152     524288    int32     prod      b         10.137600         206.869       181.010     
4194304     1048576   int32     prod      b         10.326400         406.173       355.401     
8388608     2097152   int32     prod      b         10.035200         835.918       731.429     
16777216    4194304   int32     prod      b         10.070400         1665.993      1457.744    
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
32          8         int32     and       b         10.336000         0.003         0.003       
64          16        int32     and       b         10.460800         0.006         0.005       
128         32        int32     and       b         10.486400         0.012         0.011       
256         64        int32     and       b         10.566400         0.024         0.021       
512         128       int32     and       b         10.380800         0.049         0.043       
1024        256       int32     and       b         10.377600         0.099         0.086       
2048        512       int32     and       b         10.438400         0.196         0.172       
4096        1024      int32     and       b         10.486400         0.391         0.342       
8192        2048      int32     and       b         10.329600         0.793         0.694       
16384       4096      int32     and       b         10.403200         1.575         1.378       
32768       8192      int32     and       b         10.403200         3.150         2.756       
65536       16384     int32     and       b         10.412800         6.294         5.507       
131072      32768     int32     and       b         10.425600         12.572        11.001      
262144      65536     int32     and       b         10.390400         25.229        22.076      
524288      131072    int32     and       b         10.371200         50.552        44.233      
1048576     262144    int32     and       b         10.579200         99.117        86.727      
2097152     524288    int32     and       b         10.454400         200.600       175.525     
4194304     1048576   int32     and       b         10.441600         401.692       351.480     
8388608     2097152   int32     and       b         10.368000         809.086       707.951     
16777216    4194304   int32     and       b         10.396800         1613.690      1411.979    
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
32          8         int32     or        b         10.316800         0.003         0.003       
64          16        int32     or        b         10.441600         0.006         0.005       
128         32        int32     or        b         10.659200         0.012         0.011       
256         64        int32     or        b         10.332800         0.025         0.022       
512         128       int32     or        b         10.486400         0.049         0.043       
1024        256       int32     or        b         10.547200         0.097         0.085       
2048        512       int32     or        b         10.672000         0.192         0.168       
4096        1024      int32     or        b         10.486400         0.391         0.342       
8192        2048      int32     or        b         10.387200         0.789         0.690       
16384       4096      int32     or        b         10.377600         1.579         1.381       
32768       8192      int32     or        b         10.675200         3.070         2.686       
65536       16384     int32     or        b         10.531200         6.223         5.445       
131072      32768     int32     or        b         10.672000         12.282        10.747      
262144      65536     int32     or        b         10.489600         24.991        21.867      
524288      131072    int32     or        b         10.633600         49.305        43.142      
1048576     262144    int32     or        b         10.588800         99.027        86.649      
2097152     524288    int32     or        b         11.180800         187.567       164.121     
4194304     1048576   int32     or        b         10.470400         400.587       350.513     
8388608     2097152   int32     or        b         10.553600         794.857       695.500     
16777216    4194304   int32     or        b         10.592000         1583.952      1385.958    
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
32          8         int32     xor       b         10.502400         0.003         0.003       
64          16        int32     xor       b         10.630400         0.006         0.005       
128         32        int32     xor       b         10.560000         0.012         0.011       
256         64        int32     xor       b         10.694400         0.024         0.021       
512         128       int32     xor       b         10.425600         0.049         0.043       
1024        256       int32     xor       b         10.435200         0.098         0.086       
2048        512       int32     xor       b         10.521600         0.195         0.170       
4096        1024      int32     xor       b         10.531200         0.389         0.340       
8192        2048      int32     xor       b         10.374400         0.790         0.691       
16384       4096      int32     xor       b         10.428800         1.571         1.375       
32768       8192      int32     xor       b         10.460800         3.132         2.741       
65536       16384     int32     xor       b         10.425600         6.286         5.500       
131072      32768     int32     xor       b         10.755200         12.187        10.663      
262144      65536     int32     xor       b         10.377600         25.261        22.103      
524288      131072    int32     xor       b         10.656000         49.201        43.051      
1048576     262144    int32     xor       b         10.774400         97.321        85.156      
2097152     524288    int32     xor       b         10.656000         196.805       172.204     
4194304     1048576   int32     xor       b         10.348800         405.294       354.632     
8388608     2097152   int32     xor       b         10.499200         798.976       699.104     
