Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 10, warmup iterations: 5, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
16777216    4194304   int32     prod      b         59.657598         281.225       263.649     
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          16        int32     and       b         60.623997         0.001         0.001       
128         32        int32     and       b         59.699202         0.002         0.002       
256         64        int32     and       b         60.323203         0.004         0.004       
512         128       int32     and       b         59.993601         0.009         0.008       
1024        256       int32     and       b         60.806400         0.017         0.016       
2048        512       int32     and       b         60.505599         0.034         0.032       
4096        1024      int32     and       b         60.153598         0.068         0.064       
8192        2048      int32     and       b         59.840000         0.137         0.128       
16384       4096      int32     and       b         60.963202         0.269         0.252       
32768       8192      int32     and       b         59.907198         0.547         0.513       
65536       16384     int32     and       b         59.814399         1.096         1.027       
131072      32768     int32     and       b         60.460800         2.168         2.032       
262144      65536     int32     and       b         60.412800         4.339         4.068       
524288      131072    int32     and       b         59.129602         8.867         8.313       
1048576     262144    int32     and       b         59.788799         17.538        16.442      
2097152     524288    int32     and       b         59.923202         34.997        32.810      
4194304     1048576   int32     and       b         59.875202         70.051        65.673      
8388608     2097152   int32     and       b         60.284799         139.150       130.453     
16777216    4194304   int32     and       b         59.555203         281.709       264.102     
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          16        int32     or        b         60.294402         0.001         0.001       
128         32        int32     or        b         60.044801         0.002         0.002       
256         64        int32     or        b         60.102397         0.004         0.004       
512         128       int32     or        b         60.454398         0.008         0.008       
1024        256       int32     or        b         60.323203         0.017         0.016       
2048        512       int32     or        b         59.939200         0.034         0.032       
4096        1024      int32     or        b         59.811199         0.068         0.064       
8192        2048      int32     or        b         60.927999         0.134         0.126       
16384       4096      int32     or        b         59.887999         0.274         0.256       
32768       8192      int32     or        b         60.592002         0.541         0.507       
65536       16384     int32     or        b         60.041600         1.092         1.023       
131072      32768     int32     or        b         60.249603         2.175         2.040       
262144      65536     int32     or        b         59.724802         4.389         4.115       
524288      131072    int32     or        b         59.952003         8.745         8.199       
1048576     262144    int32     or        b         60.361600         17.372        16.286      
2097152     524288    int32     or        b         60.025603         34.938        32.754      
4194304     1048576   int32     or        b         60.243201         69.623        65.271      
8388608     2097152   int32     or        b         60.025603         139.751       131.016     
16777216    4194304   int32     or        b         60.768002         276.086       258.831     
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          16        int32     xor       b         59.465599         0.001         0.001       
128         32        int32     xor       b         60.275197         0.002         0.002       
256         64        int32     xor       b         60.521603         0.004         0.004       
512         128       int32     xor       b         60.739201         0.008         0.008       
1024        256       int32     xor       b         60.467201         0.017         0.016       
2048        512       int32     xor       b         60.431999         0.034         0.032       
4096        1024      int32     xor       b         60.252798         0.068         0.064       
8192        2048      int32     xor       b         60.252798         0.136         0.127       
16384       4096      int32     xor       b         60.086399         0.273         0.256       
32768       8192      int32     xor       b         60.377598         0.543         0.509       
65536       16384     int32     xor       b         60.496002         1.083         1.016       
131072      32768     int32     xor       b         60.035199         2.183         2.047       
262144      65536     int32     xor       b         61.100799         4.290         4.022       
524288      131072    int32     xor       b         59.852803         8.760         8.212       
1048576     262144    int32     xor       b         59.993601         17.478        16.386      
2097152     524288    int32     xor       b         60.156798         34.861        32.683      
4194304     1048576   int32     xor       b         61.414403         68.295        64.027      
8388608     2097152   int32     xor       b         60.278398         139.164       130.467     
16777216    4194304   int32     xor       b         59.571201         281.633       264.031     
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
