Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 5, warmup iterations: 2, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
256         64        int32     or        b         7.673600          0.033         0.058       
512         128       int32     or        b         7.750400          0.066         0.116       
1024        256       int32     or        b         9.184000          0.111         0.195       
2048        512       int32     or        b         12.409600         0.165         0.289       
4096        1024      int32     or        b         19.027200         0.215         0.377       
8192        2048      int32     or        b         22.470400         0.365         0.638       
16384       4096      int32     or        b         56.831998         0.288         0.505       
32768       8192      int32     or        b         105.811203        0.310         0.542       
65536       16384     int32     or        b         205.804801        0.318         0.557       
131072      32768     int32     or        b         407.340813        0.322         0.563       
262144      65536     int32     or        b         808.825588        0.324         0.567       
524288      131072    int32     or        b         1613.235283       0.325         0.569       
1048576     262144    int32     or        b         3215.494537       0.326         0.571       
2097152     524288    int32     or        b         6434.976196       0.326         0.570       
4194304     1048576   int32     or        b         12852.537537      0.326         0.571       
8388608     2097152   int32     or        b         25710.906982      0.326         0.571       
16777216    4194304   int32     or        b         53354.034424      0.314         0.550       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     xor       b         14.272000         0.000         0.000       
8           2         int32     xor       b         7.539200          0.001         0.002       
16          4         int32     xor       b         7.628800          0.002         0.004       
32          8         int32     xor       b         7.731200          0.004         0.007       
64          16        int32     xor       b         7.654400          0.008         0.015       
128         32        int32     xor       b         7.494400          0.017         0.030       
256         64        int32     xor       b         7.628800          0.034         0.059       
512         128       int32     xor       b         7.462400          0.069         0.120       
1024        256       int32     xor       b         9.260800          0.111         0.194       
2048        512       int32     xor       b         12.544000         0.163         0.286       
4096        1024      int32     xor       b         18.963200         0.216         0.378       
8192        2048      int32     xor       b         23.961601         0.342         0.598       
16384       4096      int32     xor       b         56.908798         0.288         0.504       
32768       8192      int32     xor       b         105.920005        0.309         0.541       
65536       16384     int32     xor       b         205.817604        0.318         0.557       
131072      32768     int32     xor       b         407.180786        0.322         0.563       
